card_slug,card_label,appears_on,engine_id,engine_name,engine_area,engine_stars,sample_price,area_agrees,confidence,score,Confirmed (Y/N),Notes
adaaran-meedhupparu-select-meedhupparu-maldives,★★★★ ★ Adaaran Select Meedhupparu Maldives · Raa Atoll 7 nights · All ,https://www.africastay.co.uk/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/maldives/,adaaran-select-meedhupparu-meedhupparu-poland,Adaaran Select Meedhupparu,Meedhupparu,4,2273.0,yes,MEDIUM,0.52,Y,
all-beach-inclusive-neptune-resort-spa-village-mombasa-kenya,★★★★ ★ Neptune Village Beach Resort Diani Beach 7 nights · All Inclusi,https://www.africastay.co.uk/kenya/,beach-neptune-resort-spa-village-diani-beach-kenya,Neptune Village Beach Resort & Spa,Diani Beach,4,1267.0,yes,MEDIUM,0.4,Y,
all-inclusive-jambo-riu-zanzibar-tanzania,★★★★★ Hotel Riu Jambo Zanzibar · Nungwi 7 nights · All Inclusive Fligh,https://www.africastay.co.uk/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/zanzibar/,jambo-riu-zanzibar-tanzania,Riu Jambo,Kendwa,4,1966.0,NO - check,MEDIUM,0.43,Y,
allamanda-by-doubletree-hilton-resort-seychelles-spa-mahe-island-seychelles-seychelles,"★★★★ ★ DoubleTree by Hilton Allamanda Resort and Spa Anse Forbans, Mah",https://www.africastay.co.uk/seychelles/,DoubleTree by Hilton Seychelles - Allamanda Resort,DoubleTree by Hilton Seychelles - Allamanda Resort,Seychelles Island,4,2695.0,yes,MEDIUM,0.39,Y,
athuruga-diamonds-maldives-resort-spa-athuruga-maldives,★★★★★ Diamonds Athuruga Maldives · South Ari Atoll 7 nights · All Incl,https://www.africastay.co.uk/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/maldives/,ari-atoll-lux-south-maldives-all-locations-maldives,Lux South Ari Atoll,Dhidhoofinolhu,5,2154.0,NO - check,MEDIUM,0.47,N,matched Lux South Ari Atoll
attitude-matemwe-zanzibar-tanzania,★★★★ ★ Matemwe Attitude Matemwe 7 nights · Half Board Flight & hotel f,https://www.africastay.co.uk/zanzibar/,attitude-matemwe-zanzibar-tanzania,Matemwe Attitude,Kigomani,4,2006.0,NO - check,MEDIUM,0.39,Y,
balaclava-fort-intercontinental-mauritius-resort-balaclava-mauritius,★★★★★ InterContinental Resort Mauritius Balaclava · North West Coast 7,https://www.africastay.co.uk/mauritius/,intercontinental-mauritius-resort-balaclava-fort-balaclava-bolivia,InterContinental Mauritius Resort Balaclava Fort,Balaclava,5,1774.0,yes,MEDIUM,0.54,Y,
beach-diamonds-mapenzi-pwani-mchangani-zanzibar-tanzania,"★★★★ ★ Diamonds Mapenzi Beach Mapenzi, Zanzibar 7 nights · All Inclusi",https://www.africastay.co.uk/beach/; https://www.africastay.co.uk/family/; https://www.africastay.co.uk/solo/; https://www.africastay.co.uk/zanzibar/,beach-diamonds-mapenzi-zanzibar-tanzania,Diamonds Mapenzi Beach,Zanzibar,4,1714.0,yes,MEDIUM,0.35,Y,
beach-diani-reef-resort-spa-diani-beach-kenya,"★★★★ ★ Diani Reef Beach Resort Diani Beach, Kenya 7 nights · All Inclu",https://www.africastay.co.uk/beach/,beach-diani-reef-resort-spa-diani-beach-kenya,Diani Reef Beach Resort and Spa,Gombato,5,1144.0,NO - check,MEDIUM,0.63,Y,
beach-neptune-paradise-resort-spa-mombasa-kenya,★★★★ ★ Neptune Paradise Beach Resort Diani Beach 7 nights · All Inclus,https://www.africastay.co.uk/kenya/,beach-neptune-paradise-resort-diani-beach-kenya,Neptune Paradise Beach Resort,Diani Beach,4,1548.0,yes,MEDIUM,0.4,Y,
beach-resort-sarova-whitesands-mombasa-kenya,★★★★★ Sarova Whitesands Beach Resort Bamburi Beach 7 nights · All Incl,https://www.africastay.co.uk/kenya/,beach-resort-sarova-spa-whitesands-5-stars-mombasa-kenya,Sarova Whitesands Beach Resort & Spa,Mombasa,5,1340.0,yes,MEDIUM,0.43,Y,
cliff-resort-sea-spa-mangapwani-tanzania,"★★★★★ Sea Cliff Resort & Spa Mangapwani, Zanzibar Large resort · All I",https://www.africastay.co.uk/group/,cliff-resort-sea-spa-zanzibar-5-stars-zanzibar-tanzania,Sea Cliff Resort and Spa Zanzibar,Zanzibar,5,1377.0,yes,MEDIUM,0.4,Y,
cliff-resort-sea-spa-zanzibar-zanzibar-tanzania,★★★★★ Sea Cliff Resort & Spa Mangapwani 7 nights · Half Board Flight &,https://www.africastay.co.uk/zanzibar/,cliff-resort-sea-spa-zanzibar-5-stars-zanzibar-tanzania,Sea Cliff Resort and Spa Zanzibar,Zanzibar,5,1377.0,yes,MEDIUM,0.4,Y,
falls-rainbow-vic-victoria-falls-zimbabwe,★★★ ★★ Victoria Falls Rainbow Hotel Zimbabwe · Victoria Falls 3 nights,https://www.africastay.co.uk/victoria-falls/,hotel-rainbow-victoria-falls-canada,Victoria Falls Rainbow,Victoria Falls,3,677.0,yes,MEDIUM,0.36,Y,
falls-the-victoria-victoria-falls-zimbabwe,★★★★★ The Victoria Falls Hotel Zimbabwe · Victoria Falls 3 nights · Be,https://www.africastay.co.uk/victoria-falls/,bed-breakfast-lepatino-livingstone-zambia,Lepatino Bed Breakfast,Livingstone,3,247.0,NO - check,MEDIUM,0.36,N,matched Lepatino Bed Breakfast
intercontinental-mauritius-resort-balaclava-balaclava-mauritius,"★★★★★ InterContinental Resort Mauritius Balaclava, Mauritius 7 nights ",https://www.africastay.co.uk/beach/; https://www.africastay.co.uk/family/; https://www.africastay.co.uk/group/; https://www.africastay.co.uk/honeymoon/,intercontinental-mauritius-resort-balaclava-fort-balaclava-bolivia,InterContinental Mauritius Resort Balaclava Fort,Balaclava,5,1774.0,yes,MEDIUM,0.73,Y,
lodge-the-wallow-victoria-falls-zimbabwe,★★★★★ The Wallow Lodge Zimbabwe · Victoria Falls 3 nights · Half Board,https://www.africastay.co.uk/victoria-falls/,all-falls-inclusive-lodge-river-victoria-victoria-falls-zimbabwe,Victoria Falls River Lodge - All-Inclusive,Victoria Falls,4,21520.0,yes,MEDIUM,0.38,N,matched VF River Lodge
maritim-resort-spa-balaclava-mauritius,"★★★★★ Maritim Resort & Spa Balaclava, Mauritius 7 nights · All Inclusi",https://www.africastay.co.uk/beach/; https://www.africastay.co.uk/family/; https://www.africastay.co.uk/group/; https://www.africastay.co.uk/honeymoon/; https://www.africastay.co.uk/solo/,maritim-mauritius-resort-spa-mauritius-island-mauritius,Maritim Resort & Spa Mauritius,Balaclava,5,907.0,yes,MEDIUM,0.63,Y,
palm-river-the-victoria-falls-zimbabwe,★★★★★ The Palm River Hotel Zimbabwe · Victoria Falls 3 nights · Bed & ,https://www.africastay.co.uk/victoria-falls/,all-falls-inclusive-lodge-river-victoria-victoria-falls-zimbabwe,Victoria Falls River Lodge - All-Inclusive,Victoria Falls,4,21520.0,yes,MEDIUM,0.35,N,matched VF River Lodge
lodge-river-zambezi-victoria-falls-zimbabwe,★★★★ ★ A'Zambezi River Lodge Zimbabwe · Victoria Falls 3 nights · All ,https://www.africastay.co.uk/victoria-falls/,all-falls-inclusive-lodge-river-victoria-victoria-falls-zimbabwe,Victoria Falls River Lodge - All-Inclusive,Victoria Falls,4,21520.0,yes,HIGH,0.57,N,matched VF River Lodge
kenya,"Kenya From £1,449 pp",https://www.africastay.co.uk/; https://www.africastay.co.uk/destinations-hub/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/victoria-falls/,,,,,,,DESTINATION TILE,,,"needs the cheapest price across kenya, not one hotel"
maldives,"Maldives From £1,899 pp",https://www.africastay.co.uk/; https://www.africastay.co.uk/destinations-hub/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/mauritius/; https://www.africastay.co.uk/seychelles/; https://www.africastay.co.uk/zanzibar/,,,,,,,DESTINATION TILE,,,"needs the cheapest price across maldives, not one hotel"
mauritius,"Mauritius From £1,299 pp",https://www.africastay.co.uk/; https://www.africastay.co.uk/botswana/; https://www.africastay.co.uk/destinations-hub/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/kenya/; https://www.africastay.co.uk/maldives/; https://www.africastay.co.uk/seychelles/; https://www.africastay.co.uk/south-africa/; https://www.africastay.co.uk/tanzania/; https://www.africastay.co.uk/victoria-falls/; https://www.africastay.co.uk/zanzibar/,,,,,,,DESTINATION TILE,,,"needs the cheapest price across mauritius, not one hotel"
seychelles,"Seychelles From £1,699 pp",https://www.africastay.co.uk/; https://www.africastay.co.uk/destinations-hub/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/maldives/; https://www.africastay.co.uk/mauritius/; https://www.africastay.co.uk/zanzibar/,,,,,,,DESTINATION TILE,,,"needs the cheapest price across seychelles, not one hotel"
victoria-falls,"Victoria Falls From £1,199 pp",https://www.africastay.co.uk/; https://www.africastay.co.uk/botswana/; https://www.africastay.co.uk/destinations-hub/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/kenya/; https://www.africastay.co.uk/namibia/; https://www.africastay.co.uk/south-africa/,,,,,,,DESTINATION TILE,,,"needs the cheapest price across victoria falls, not one hotel"
zanzibar,"Zanzibar From £1,549 pp",https://www.africastay.co.uk/; https://www.africastay.co.uk/destinations-hub/; https://www.africastay.co.uk/home/; https://www.africastay.co.uk/kenya/; https://www.africastay.co.uk/malawi/; https://www.africastay.co.uk/maldives/; https://www.africastay.co.uk/mauritius/; https://www.africastay.co.uk/seychelles/; https://www.africastay.co.uk/tanzania/; https://www.africastay.co.uk/victoria-falls/,,,,,,,DESTINATION TILE,,,"needs the cheapest price across zanzibar, not one hotel"
