slug,url
bathala-maldives-sandies-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/bathala-maldives-sandies-maldives-all-maldives/
beach-diamonds-mapenzi-pwani-mchangani-zanzibar-tanzania,https://www.africastay.co.uk/accommodation/in-Pwani-Mchangani-Zanzibar/Tanzania/beach-diamonds-mapenzi-pwani-mchangani-zanzibar-tanzania/
beach-diamonds-thudufushi-villas-water-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/beach-diamonds-thudufushi-villas-water-maldives-all-maldives/
beach-diani-reef-resort-spa-diani-beach-kenya,https://www.africastay.co.uk/accommodation/in-Diani-Beach/Kenya/beach-diani-reef-resort-spa-diani-beach-kenya/
beach-leopard-resort-spa-diani-beach-kenya,https://www.africastay.co.uk/accommodation/in-Diani-Beach/Kenya/beach-leopard-resort-spa-diani-beach-kenya/
beach-neptune-paradise-resort-spa-mombasa-kenya,https://www.africastay.co.uk/accommodation/in-Mombasa/Kenya/beach-neptune-paradise-resort-spa-mombasa-kenya/
beach-palms-resort-southern-diani-beach-kenya,https://www.africastay.co.uk/accommodation/in-Diani-Beach/Kenya/beach-palms-resort-southern-diani-beach-kenya/
beach-resort-sarova-whitesands-mombasa-kenya,https://www.africastay.co.uk/accommodation/in-Mombasa/Kenya/beach-resort-sarova-whitesands-mombasa-kenya/
by-cinnamon-ellaidhoo-maldives-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/by-cinnamon-ellaidhoo-maldives-maldives-all-maldives/
cliff-resort-sea-spa-mangapwani-tanzania,https://www.africastay.co.uk/accommodation/in-Mangapwani/Tanzania/cliff-resort-sea-spa-mangapwani-tanzania/
cliff-resort-sea-spa-zanzibar-zanzibar-tanzania,https://www.africastay.co.uk/accommodation/in-Zanzibar-Zanzibar/Tanzania/cliff-resort-sea-spa-zanzibar-zanzibar-tanzania/
constance-ephelia-mahe-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Mahe-Island-Seychelles/Seychelles/constance-ephelia-mahe-island-seychelles-seychelles/
constance-lemuria-resort-mahe-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Mahe-Island-Seychelles/Seychelles/constance-lemuria-resort-mahe-island-seychelles-seychelles/
falls-lodge-safari-victoria-victoria-falls-zimbabwe,https://www.africastay.co.uk/accommodation/in-Victoria-Falls/Zimbabwe/falls-lodge-safari-victoria-victoria-falls-zimbabwe/
falls-rainbow-vic-victoria-falls-zimbabwe,https://www.africastay.co.uk/accommodation/in-Vic-Victoria-Falls/Zimbabwe/falls-rainbow-vic-victoria-falls-zimbabwe/
falls-the-victoria-victoria-falls-zimbabwe,https://www.africastay.co.uk/accommodation/in-Victoria-Falls/Zimbabwe/falls-the-victoria-victoria-falls-zimbabwe/
four-resort-seasons-seychelles-mahe-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Mahe-Island-Seychelles/Seychelles/four-resort-seasons-seychelles-mahe-island-seychelles-seychelles/
hilton-northolme-resort-seychelles-spa-seychelles-all-seychelles,https://www.africastay.co.uk/accommodation/in-Seychelles-All/Seychelles/hilton-northolme-resort-seychelles-spa-seychelles-all-seychelles/
intercontinental-mauritius-resort-balaclava-balaclava-mauritius,https://www.africastay.co.uk/accommodation/in-Balaclava/Mauritius/intercontinental-mauritius-resort-balaclava-balaclava-mauritius/
island-meeru-resort-spa-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/island-meeru-resort-spa-maldives-all-maldives/
island-preskil-resort-mahebourg-mauritius,https://www.africastay.co.uk/accommodation/in-Mahebourg/Mauritius/island-preskil-resort-mahebourg-mauritius
kandima-maldives-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/kandima-maldives-maldives-all-maldives/
kuredu-maldives-resort-spa-kuredu-island-maldives,https://www.africastay.co.uk/accommodation/in-Kuredu-Island/Maldives/kuredu-maldives-resort-spa-kuredu-island-maldives/
kuredu-maldives-resort-spa-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/kuredu-maldives-resort-spa-maldives-all-maldives/
lodge-river-zambezi-victoria-falls-zimbabwe,https://www.africastay.co.uk/accommodation/in-Victoria-Falls/Zimbabwe/lodge-river-zambezi-victoria-falls-zimbabwe/
lodge-the-wallow-victoria-falls-zimbabwe,https://www.africastay.co.uk/accommodation/in-Victoria-Falls/Zimbabwe/lodge-the-wallow-victoria-falls-zimbabwe/
maldivas-palace-riu-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/maldivas-palace-riu-maldives-all-maldives/
maldives-regis-resort-st-the-vommuli-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives_(All)/Maldives/maldives-regis-resort-st-the-vommuli-maldives-all-maldives/
maldives-siyam-world-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives_(All)/Maldives/maldives-siyam-world-maldives-all-maldives/
maritim-mauritius-resort-spa-balaclava-mauritius,https://www.africastay.co.uk/accommodation/in-Balaclava/Mauritius/maritim-mauritius-resort-spa-balaclava-mauritius
maritim-resort-spa-balaclava-mauritius,https://www.africastay.co.uk/accommodation/in-Balaclava/Mauritius/maritim-resort-spa-balaclava-mauritius/
mora-the-zanzibar-matemwe-zanzibar-tanzania,https://www.africastay.co.uk/accommodation/in-Matemwe-Zanzibar/Tanzania/mora-the-zanzibar-matemwe-zanzibar-tanzania/
olhuveli-siyam-sun-maldives-all-maldives,https://www.africastay.co.uk/accommodation/in-Maldives/Maldives/olhuveli-siyam-sun-maldives-all-maldives/
palm-river-the-victoria-falls-zimbabwe,https://www.africastay.co.uk/accommodation/in-Victoria-Falls/Zimbabwe/palm-river-the-victoria-falls-zimbabwe/
paradise-sun-praslin-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Praslin-Island-Seychelles/Seychelles/paradise-sun-praslin-island-seychelles-seychelles/
raffles-seychelles-praslin-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Praslin-Island-Seychelles/Seychelles/raffles-seychelles-praslin-island-seychelles-seychelles/
resort-spa-tarisa-mauritius-island-mauritius,https://www.africastay.co.uk/accommodation/in-Mauritius-Island/Mauritius/resort-spa-tarisa-mauritius-island-mauritius
resort-spa-tarisa-mont-choisy-mauritius,https://www.africastay.co.uk/accommodation/in-Mont-Choisy/Mauritius/resort-spa-tarisa-mont-choisy-mauritius/
seychelles-story-mahe-island-seychelles-seychelles,https://www.africastay.co.uk/accommodation/in-Mahe-Island-Seychelles/Seychelles/seychelles-story-mahe-island-seychelles-seychelles/
